"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2015 VU172)",39.82,0.0241,1.59,82.56,323.87,38.861,40.78,251,1042,4,40,,,8.40
"       (2015 VV172)",42.85,0.1637,19.97,226.01,284.61,35.830,49.86,280,1041,4,40,,,7.40
"       (2015 VW172)",44.67,0.0348,1.48,97.64,93.29,43.117,46.23,299,1125,5,43,,,8.10
"       (2015 VX172)",43.86,0.0377,2.09,86.37,281.30,42.209,45.52,290,1125,4,40,,,8.80
"       (2015 VY172)",45.7,0.0460,1.75,92.49,335.44,43.595,47.80,309,1804,4,44,,,7.60
"       (2015 VZ172)",43.34,0.0286,2.21,84.08,152.87,42.099,44.58,285,1125,5,32,,,8.80
"       (2015 VA173)",43.34,0.0167,1.69,169.15,217.70,42.615,44.06,285,1125,5,41,,,8.20
"       (2015 VB173)",42.86,0.0284,3.25,71.58,270.97,41.643,44.08,281,1125,3,43,,,8.00
"       (2015 VC173)",43.39,0.0385,2.28,81.12,254.78,41.717,45.06,286,1125,3,41,,,8.50
"       (2015 VD173)",44.72,0.0790,1.95,89.83,329.83,41.188,48.25,299,1125,4,42,,,8.80
"       (2015 VE173)",45.05,0.0864,1.76,81.23,230.29,41.155,48.94,302,1125,4,40,,,8.30
"       (2015 VF173)",43.68,0.0602,2.29,89.59,124.15,41.048,46.31,289,858,6,32,,,8.30
"       (2015 VG173)",44.48,0.0648,2.88,87.70,60.84,41.601,47.36,297,1125,4,41,,,8.40
"       (2015 VH173)",44.18,0.0962,2.22,159.69,239.70,39.927,48.43,294,1041,5,37,,,7.90
