"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"616442 (2005 UZ405)",1.951,0.1964,19.64,350.47,67.44,1.568,2.33,2.73,6443,0,312,,,17.97
"616449 (2005 UW455)",2.382,0.3455,5.81,331.29,10.50,1.559,3.20,3.68,5601,0,188,,,18.01
"616450 (2005 UQ456)",2.383,0.3238,11.93,225.96,96.68,1.611,3.15,3.68,6451,0,92,,,18.24
"616455 (2005 UT481)",2.628,0.3996,26.67,242.36,81.37,1.578,3.68,4.26,7724,0,207,,,17.21
"616513 (2005 WV58)",2.403,0.3730,6.64,55.83,325.95,1.506,3.30,3.72,6561,0,478,,,17.24
"616586 (2005 YE215)",2.245,0.2757,20.27,100.42,15.15,1.626,2.86,3.36,6371,0,160,,,18.08
"616835 (2001 NA2)",3.019,0.4533,13.59,307.81,354.18,1.650,4.39,5.24,7800,0,346,,,17.12
"616936 (2002 CG14)",2.36,0.2972,23.27,143.24,272.68,1.658,3.06,3.62,7542,0,257,,,17.41
"616999 (2002 QJ10)",1.864,0.1154,24.59,156.59,265.99,1.649,2.08,2.54,7314,0,114,,,18.08
"617133 (2003 PL4)",2.155,0.2630,3.63,56.24,250.51,1.588,2.72,3.16,7048,0,164,,,18.69
"617193 (2003 WB46)",2.195,0.3495,5.52,34.65,313.46,1.428,2.96,3.25,6806,0,95,,,18.71
"617196 (2003 WB88)",1.828,0.2314,20.89,43.62,359.23,1.405,2.25,2.47,8576,0,110,,,18.01
"617286 (2004 GW18)",1.855,0.1139,20.09,202.14,171.46,1.643,2.07,2.53,6714,0,143,,,18.82
"617493 (2005 QX10)",2.293,0.2807,4.03,150.83,185.12,1.649,2.94,3.47,6151,0,109,,,18.73
"617627 (2005 UD73)",2.317,0.3059,4.68,51.54,301.55,1.608,3.03,3.53,6058,0,241,,,18.29
"617756 (2005 WD166)",2.365,0.3482,5.60,87.81,300.45,1.542,3.19,3.64,14507,0,148,,,17.88
"617795 (2005 YX111)",1.864,0.1392,24.72,101.75,48.40,1.605,2.12,2.55,6003,0,55,,,19.10
"617796 (2005 YB139)",1.847,0.1082,22.59,280.09,110.33,1.647,2.05,2.51,6006,0,85,,,18.31
