"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 QD67)",3.206,0.1502,10.98,273.73,71.05,2.725,3.69,5.74,3976,0,24,,,17.40
"       (2020 QF67)",3.202,0.0575,10.82,266.26,29.97,3.018,3.39,5.73,2675,2,31,,,16.82
"       (2020 QU68)",3.244,0.0610,7.23,109.50,227.78,3.046,3.44,5.84,3094,0,27,,,17.44
"       (2020 QX69)",3.221,0.0455,21.08,0.27,302.03,3.074,3.37,5.78,3154,0,36,,,16.80
"       (2020 QJ72)",3.435,0.0387,18.80,327.43,31.65,3.302,3.57,6.37,3498,0,26,,,17.05
"       (2020 QF73)",3.368,0.1245,10.87,286.55,115.68,2.949,3.79,6.18,6535,0,36,,,16.99
"       (2020 QJ78)",3.399,0.0898,13.97,137.51,159.05,3.094,3.70,6.27,2631,2,18,,,17.10
"       (2020 QE81)",4.381,0.5636,13.26,133.40,257.32,1.912,6.85,9.17,35,5,14,,,19.32
"       (2020 QT82)",3.234,0.0801,1.00,297.67,320.64,2.975,3.49,5.82,3179,0,39,,,16.80
"       (2020 QZ82)",3.395,0.0640,11.38,350.29,25.37,3.177,3.61,6.25,62,4,18,,,17.16
"       (2020 QA83)",3.964,0.3059,8.39,124.29,305.58,2.751,5.18,7.89,5897,0,65,,,16.74
"       (2020 QX84)",3.211,0.0544,11.59,124.57,342.15,3.036,3.39,5.75,8392,0,37,,,17.42
"       (2020 QB85)",3.482,0.0410,10.36,164.99,132.70,3.339,3.62,6.5,3479,0,31,,,17.22
"       (2020 QN85)",3.205,0.1425,13.82,125.25,247.72,2.748,3.66,5.74,473,4,17,,,17.40
"       (2020 QD86)",3.223,0.1738,25.81,301.80,136.25,2.663,3.78,5.79,2695,0,39,,,17.43
"       (2020 QD89)",3.351,0.1058,8.68,276.52,89.60,2.997,3.71,6.13,6579,3,22,,,17.37
"       (2020 QH89)",3.514,0.0189,10.26,58.50,21.59,3.448,3.58,6.59,5183,0,34,,,16.99
"       (2020 QP89)",3.208,0.1933,16.34,261.78,146.10,2.588,3.83,5.75,506,4,24,,,17.30
"       (2020 QY89)",3.241,0.1358,7.61,157.50,236.22,2.801,3.68,5.83,4449,0,42,,,17.62
"       (2020 QE90)",3.425,0.1932,11.54,279.43,88.65,2.763,4.09,6.34,6935,1,22,,,17.60
"       (2020 QL90)",3.213,0.2773,14.85,316.17,95.95,2.322,4.10,5.76,2223,2,19,,,18.05
"       (2020 QO92)",3.212,0.1564,27.06,195.37,176.97,2.710,3.71,5.76,49,5,15,,,17.66
"       (2020 QX94)",3.231,0.0264,9.35,358.64,61.91,3.145,3.32,5.81,3942,0,41,,,17.40
"       (2020 QS99)",3.214,0.0638,6.77,346.62,302.32,3.009,3.42,5.76,31,5,10,,,17.51
"       (2020 QZ99)",3.207,0.1206,9.98,145.76,163.02,2.820,3.59,5.74,27,8,11,,,17.98
"       (2020 QF101)",3.238,0.0667,10.58,237.60,119.61,3.022,3.45,5.83,29,6,10,,,17.48
"       (2020 QL104)",3.21,0.1268,12.26,4.06,17.52,2.803,3.62,5.75,59,6,100,,,18.05
"       (2020 QD105)",3.376,0.0980,9.53,8.69,53.40,3.045,3.71,6.2,,5,18,,,17.54
"       (2020 RJ8)",3.424,0.5647,9.39,359.97,342.46,1.490,5.36,6.34,3,9,9,,,22.64
"       (2020 RJ15)",3.416,0.0910,12.85,177.28,138.85,3.105,3.73,6.31,35,5,30,,,16.50
